Lot,Pen,Tag Color,Program Type,Breed,Zone,In Date,Ship Date,DOF,DBS,30 Month Date,In Wt,Current Wt,Sex,Risk,Owner,Origin,Buyer,Receive,Live,Home,Buller,Hosp,Hosp%,Ship,Dead,Dead%,Transfer Out,1st Pull,1st Pull%,2nd Pull,2nd Pull%,Total Pull,Total Pull%,Railed,Railed%,Mass Proc $,Mass Proc $/hd,Mass Trmt $,Mass Trmt $/hd,Trmt $,Trmt $/hd,4D Avg,4D DM Avg,7D Avg,7D DM Avg,14D Avg,14D DM Avg,Fed/Hd,DM Fed/Hd,Ration,Phase,DOP,DOR,ADG,Avg Dly Cst,LTD Avg,LTD DM Avg,DTTR,CV% 4D,CV% 4D DM,CV% 7D,CV% 7D DM,CV% 14D,CV% 14D DM,CV% LTD,CV% LTD DM,Note,Area/Hd,Lot Desc,...71
301,HAYPEN,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,484,819,Heifer,Unknown,1NC.,1WFI,NA,10,5,5,0,0,0.00,1,4,40.00,0,5.00,50.00,3.00,60.00,9.00,90.00,1,10.00,168.91,16.89,0.00,0.00,273.32,27.33,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,1.36,0.52,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,NA,0,NA,NA
301,105,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,489,819,Heifer,Unknown,1NC.,1WFI,NA,65,65,65,0,0,0.00,0,0,0.00,0,15.00,23.08,2.00,13.33,17.00,26.15,0,0.00,"1,624.16",24.99,0.00,0.00,441.13,6.79,37.3,25.2,35.5,24.0,39.4,26.6,43.8,29.6,F5W,F5W,40,40,1.34,1.40,30.6,19.3,343,13.28,13.29,13.51,13.50,18.95,18.95,28.55,33.56,NA,0,NA,NA
301,TWINMOUND,WHITE,NA,NA,NA,04/27/23,10/31/25,412,507,NA,504,864,Heifer,Unknown,1NC.,8WFI,NA,356,353,353,0,0,0.00,0,3,0.84,0,61.00,17.13,4.00,6.56,65.00,18.26,0,0.00,"5,266.12",14.79,0.00,0.00,"1,293.25",3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,GRASS,123,140,0.87,0.67,21.8,12.1,0,0.00,0.00,0.00,0.00,0.00,0.00,155.10,161.19,NA,0,NA,NA
302,101,ORANGE,NA,NA,NA,01/08/24,08/01/25,156,416,NA,724,620,Steer,Unknown,1NC.,9 KS,"Anderson, Junior",117,112,112,0,0,0.00,3,2,1.71,0,21.00,17.95,6.00,28.57,28.00,23.93,1,0.85,"1,337.42",11.43,0.00,0.00,764.31,6.53,40.0,27.0,39.8,26.9,39.6,26.6,40.7,27.5,F5W,F5W,10,40,-0.67,2.15,33.2,21.1,476,1.65,1.74,1.54,1.58,1.75,2.27,13.02,16.35,NA,0,NA,NA
302,102,ORANGE,NA,NA,NA,10/16/23,10/15/25,240,491,NA,566,"1,011",Steer,Unknown,1NC.,10 KS,"Anderson, Junior",64,64,64,0,0,0.00,0,0,0.00,0,22.00,34.38,3.00,13.64,25.00,39.06,0,0.00,"1,227.69",19.18,0.00,0.00,548.03,8.56,39.3,26.6,39.2,26.5,38.7,26.2,39.0,26.4,F5W,F5W,40,40,1.85,1.55,31.4,20.3,88,1.36,1.26,1.16,1.11,1.96,1.93,16.96,21.63,NA,0,NA,NA
302,105,ORANGE,NA,NA,NA,10/16/23,10/15/25,240,491,NA,545,994,Steer,Unknown,1NC.,10 KS,"Anderson, Junior",1,1,1,0,0,0.00,0,0,0.00,0,1.00,100.00,0.00,0.00,1.00,100.00,0,0.00,13.25,13.25,0.00,0.00,16.91,16.91,37.3,25.2,35.5,24.0,39.4,26.6,43.8,29.6,F5W,F5W,40,40,1.87,1.27,30.6,19.3,343,13.28,13.29,13.51,13.50,18.95,18.95,28.55,33.56,NA,0,NA,NA
302,106,ORANGE,NA,NA,NA,01/27/24,08/15/25,137,430,NA,700,983,Steer,Unknown,1NC.,9 KS,"Anderson, Junior",176,173,173,0,0,0.00,1,2,1.14,0,19.00,10.80,1.00,5.26,20.00,11.36,1,0.57,"2,548.13",14.48,0.00,0.00,583.08,3.31,38.6,26.1,39.6,26.8,40.2,27.2,41.1,27.7,F5W,F5W,40,40,2.07,2.13,32.4,21.1,31,6.59,6.53,6.15,6.16,5.39,5.34,22.85,26.12,NA,0,NA,NA
302,201,ORANGE,NA,NA,NA,10/16/23,10/14/25,240,490,NA,690,"1,339",Steer,Unknown,1NC.,10 KS,"Anderson, Junior",20,20,20,0,0,0.00,0,0,0.00,0,6.05,30.26,1.84,30.43,8.16,40.79,0,0.00,229.71,11.49,0.00,0.00,198.27,9.91,46.4,31.4,44.0,29.7,42.5,28.7,41.2,27.8,F5W,F5W,40,40,2.70,1.80,34.5,22.2,81,14.06,14.14,13.14,13.21,10.36,10.38,22.68,24.20,NA,0,NA,NA
302,204,ORANGE,NA,NA,NA,10/16/23,10/14/25,240,490,NA,690,"1,339",Steer,Unknown,1NC.,10 KS,"Anderson, Junior",29,29,29,0,0,0.00,0,0,0.00,0,8.78,30.26,2.67,30.44,11.83,40.79,0,0.00,333.08,11.49,0.00,0.00,287.50,9.91,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,2.70,1.79,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
302,205,ORANGE,NA,NA,NA,10/16/23,10/14/25,240,490,NA,690,"1,339",Steer,Unknown,1NC.,10 KS,"Anderson, Junior",29,27,27,0,0,0.00,0,2,6.90,0,9.17,31.62,3.49,38.02,13.01,44.87,0,0.00,333.08,11.49,0.00,0.00,355.10,12.24,41.4,28.0,40.9,27.7,41.0,27.7,43.5,29.4,F5W,F5W,40,40,2.70,1.76,34.4,22.1,81,5.46,5.48,4.88,4.88,3.83,3.84,49.67,43.12,NA,0,NA,NA
